SessionID,Date,Page,TrafficSource,Device,Country,Browser,SessionDuration_sec,PageViews,Bounced,NewUser,Conversions,Month,DayOfWeek,SessionDuration_min
S100000,2025-04-13,Pricing,Direct,Mobile,Australia,Safari,47,9,0,0,1,April,Sunday,0.78
S100001,2025-12-15,Home,Direct,Mobile,Canada,Chrome,25,10,0,1,0,December,Monday,0.42
S100002,2025-09-28,Pricing,Social Media,Desktop,USA,Chrome,53,12,0,0,0,September,Sunday,0.88
S100003,2025-04-17,Blog,Referral,Desktop,USA,Safari,79,13,0,1,0,April,Thursday,1.32
S100004,2025-03-13,Blog,Email,Desktop,UK,Chrome,201,14,0,0,0,March,Thursday,3.35
S100005,2025-07-08,About,Direct,Mobile,USA,Chrome,11,4,0,0,0,July,Tuesday,0.18
S100006,2025-01-21,About,Email,Desktop,India,Chrome,42,5,0,1,0,January,Tuesday,0.7
S100007,2025-04-13,Login,Paid Ads,Desktop,USA,Chrome,298,4,0,1,0,April,Sunday,4.97
S100008,2025-05-02,About,Direct,Desktop,India,Chrome,28,2,0,0,0,May,Friday,0.47
S100009,2025-08-03,Products,Direct,Desktop,India,Firefox,75,12,0,1,0,August,Sunday,1.25
S100010,2025-11-27,Pricing,Organic Search,Desktop,India,Chrome,359,1,1,1,0,November,Thursday,5.98
S100011,2025-03-29,Home,Paid Ads,Desktop,USA,Chrome,30,8,0,0,0,March,Saturday,0.5
S100012,2025-04-10,Blog,Organic Search,Tablet,India,Chrome,15,4,0,1,0,April,Thursday,0.25
S100013,2025-12-26,Blog,Organic Search,Desktop,USA,Chrome,119,5,0,1,0,December,Friday,1.98
S100014,2025-06-01,Pricing,Direct,Mobile,Germany,Chrome,64,6,0,1,0,June,Sunday,1.07
S100015,2025-05-11,Products,Paid Ads,Desktop,USA,Firefox,149,14,0,1,0,May,Sunday,2.48
S100016,2025-05-30,Products,Direct,Mobile,France,Chrome,293,8,0,1,0,May,Friday,4.88
S100017,2025-11-05,Products,Email,Mobile,India,Edge,26,11,0,1,0,November,Wednesday,0.43
S100018,2025-09-15,Login,Paid Ads,Mobile,Australia,Chrome,156,8,0,1,0,September,Monday,2.6
S100019,2025-12-10,Home,Direct,Mobile,India,Chrome,126,7,0,0,0,December,Wednesday,2.1
S100020,2025-10-21,Support,Social Media,Mobile,Canada,Chrome,28,4,0,1,0,October,Tuesday,0.47
S100021,2025-07-11,Contact,Direct,Mobile,India,Chrome,176,6,0,0,0,July,Friday,2.93
S100022,2025-10-04,Signup,Paid Ads,Mobile,Germany,Safari,57,4,0,1,0,October,Saturday,0.95
S100023,2025-06-10,Products,Social Media,Mobile,India,Safari,120,14,0,1,0,June,Tuesday,2.0
S100024,2025-11-10,Products,Paid Ads,Desktop,UK,Chrome,15,7,0,1,0,November,Monday,0.25
S100025,2025-01-22,FAQ,Organic Search,Mobile,India,Firefox,110,12,0,0,0,January,Wednesday,1.83
S100026,2025-09-10,Home,Organic Search,Mobile,UK,Firefox,65,13,0,1,0,September,Wednesday,1.08
S100027,2025-08-24,Home,Organic Search,Desktop,UK,Edge,311,12,0,0,0,August,Sunday,5.18
S100028,2025-12-11,About,Direct,Mobile,Canada,Chrome,10,13,0,0,0,December,Thursday,0.17
S100029,2025-02-18,Support,Paid Ads,Mobile,UK,Chrome,97,13,0,1,0,February,Tuesday,1.62
S100030,2025-02-28,Contact,Organic Search,Mobile,USA,Chrome,110,11,0,0,0,February,Friday,1.83
S100031,2025-06-19,Blog,Organic Search,Tablet,India,Chrome,232,14,0,1,0,June,Thursday,3.87
S100032,2025-07-07,Pricing,Organic Search,Desktop,UK,Safari,153,1,1,0,0,July,Monday,2.55
S100033,2025-09-28,Products,Direct,Desktop,India,Edge,198,5,0,1,0,September,Sunday,3.3
S100034,2025-07-09,Login,Organic Search,Mobile,Australia,Chrome,270,14,0,1,0,July,Wednesday,4.5
S100035,2025-06-24,Products,Organic Search,Desktop,India,Safari,356,10,0,1,0,June,Tuesday,5.93
S100036,2025-02-20,Login,Email,Desktop,USA,Edge,67,12,0,1,0,February,Thursday,1.12
S100037,2025-12-30,About,Direct,Mobile,UK,Edge,139,10,0,1,0,December,Tuesday,2.32
S100038,2025-02-24,About,Social Media,Desktop,USA,Safari,329,4,0,0,0,February,Monday,5.48
S100039,2025-09-01,Blog,Direct,Desktop,UK,Firefox,819,11,0,0,0,September,Monday,13.65
S100040,2025-11-16,Products,Social Media,Desktop,India,Chrome,396,7,0,1,0,November,Sunday,6.6
S100041,2025-05-11,Contact,Organic Search,Mobile,India,Edge,83,13,0,1,0,May,Sunday,1.38
S100042,2025-11-03,Products,Paid Ads,Desktop,France,Chrome,39,9,0,1,0,November,Monday,0.65
S100043,2025-05-15,Home,Social Media,Desktop,USA,Chrome,120,5,0,1,0,May,Thursday,2.0
S100044,2025-01-21,Products,Organic Search,Mobile,Germany,Chrome,243,4,0,0,0,January,Tuesday,4.05
S100045,2025-11-25,Blog,Organic Search,Desktop,USA,Firefox,122,9,0,0,0,November,Tuesday,2.03
S100046,2025-06-16,Home,Organic Search,Mobile,UK,Chrome,118,5,0,0,0,June,Monday,1.97
S100047,2025-10-01,Blog,Email,Desktop,India,Safari,327,9,0,1,1,October,Wednesday,5.45
S100048,2025-03-30,Products,Social Media,Mobile,USA,Chrome,80,8,0,1,0,March,Sunday,1.33
S100049,2025-11-12,Products,Direct,Mobile,USA,Chrome,353,4,0,1,0,November,Wednesday,5.88
S100050,2025-01-14,About,Organic Search,Mobile,USA,Chrome,94,11,0,1,0,January,Tuesday,1.57
S100051,2025-08-30,FAQ,Paid Ads,Desktop,France,Chrome,71,11,0,0,0,August,Saturday,1.18
S100052,2025-09-22,Pricing,Paid Ads,Desktop,India,Chrome,108,7,0,0,0,September,Monday,1.8
S100053,2025-12-12,About,Social Media,Mobile,Germany,Chrome,258,5,0,0,0,December,Friday,4.3
S100054,2025-02-22,Contact,Direct,Desktop,USA,Chrome,24,10,0,0,0,February,Saturday,0.4
S100055,2025-12-06,Signup,Email,Mobile,India,Safari,39,4,0,0,0,December,Saturday,0.65
S100056,2025-04-02,Products,Email,Desktop,India,Chrome,544,5,0,0,0,April,Wednesday,9.07
S100057,2025-09-21,Login,Direct,Mobile,USA,Firefox,34,5,0,1,0,September,Sunday,0.57
S100058,2025-02-04,Home,Organic Search,Mobile,USA,Chrome,150,11,0,1,0,February,Tuesday,2.5
S100059,2025-07-25,Login,Email,Tablet,India,Chrome,155,9,0,0,0,July,Friday,2.58
S100060,2025-03-22,Blog,Organic Search,Desktop,UK,Firefox,121,12,0,1,0,March,Saturday,2.02
S100061,2025-02-19,Home,Organic Search,Desktop,India,Firefox,186,9,0,0,0,February,Wednesday,3.1
S100062,2025-12-26,Products,Paid Ads,Tablet,USA,Chrome,47,6,0,1,1,December,Friday,0.78
S100063,2025-01-02,Support,Social Media,Mobile,India,Chrome,144,14,0,0,0,January,Thursday,2.4
S100064,2025-02-23,Login,Paid Ads,Desktop,Germany,Edge,83,4,0,1,0,February,Sunday,1.38
S100065,2025-04-16,Blog,Direct,Mobile,India,Chrome,195,2,0,0,1,April,Wednesday,3.25
S100066,2025-09-17,Home,Paid Ads,Desktop,Canada,Chrome,27,14,0,1,0,September,Wednesday,0.45
S100067,2025-11-06,Products,Direct,Tablet,India,Chrome,152,3,0,1,0,November,Thursday,2.53
S100068,2025-07-10,About,Social Media,Desktop,USA,Safari,36,2,0,1,0,July,Thursday,0.6
S100069,2025-08-06,Home,Organic Search,Mobile,India,Safari,58,5,0,1,0,August,Wednesday,0.97
S100070,2025-02-13,Blog,Organic Search,Mobile,India,Chrome,44,6,0,0,0,February,Thursday,0.73
S100071,2025-06-11,Signup,Direct,Tablet,Germany,Chrome,36,11,0,0,0,June,Wednesday,0.6
S100072,2025-07-21,Pricing,Email,Mobile,USA,Chrome,314,5,0,0,0,July,Monday,5.23
S100073,2025-09-27,Home,Organic Search,Desktop,India,Chrome,60,2,0,1,0,September,Saturday,1.0
S100074,2025-12-17,Blog,Direct,Mobile,India,Chrome,471,12,0,0,1,December,Wednesday,7.85
S100075,2025-10-31,FAQ,Organic Search,Tablet,India,Chrome,630,5,0,0,0,October,Friday,10.5
S100076,2025-09-28,Pricing,Organic Search,Mobile,Canada,Chrome,152,9,0,1,0,September,Sunday,2.53
S100077,2025-08-03,Pricing,Social Media,Mobile,Australia,Safari,27,4,0,1,0,August,Sunday,0.45
S100078,2025-09-09,Support,Referral,Mobile,USA,Firefox,84,12,0,0,0,September,Tuesday,1.4
S100079,2025-07-09,Login,Organic Search,Desktop,USA,Safari,287,10,0,1,0,July,Wednesday,4.78
S100080,2025-10-23,Home,Social Media,Mobile,Canada,Chrome,82,2,0,0,0,October,Thursday,1.37
S100081,2025-08-01,Products,Referral,Desktop,UK,Opera,16,3,0,0,0,August,Friday,0.27
S100082,2025-07-27,Support,Social Media,Desktop,Canada,Edge,146,3,0,1,0,July,Sunday,2.43
S100083,2025-08-25,Products,Social Media,Mobile,USA,Chrome,335,9,0,1,0,August,Monday,5.58
S100084,2025-12-04,Home,Organic Search,Desktop,India,Chrome,286,4,0,1,0,December,Thursday,4.77
S100085,2025-02-22,Products,Direct,Desktop,Germany,Safari,34,1,1,1,0,February,Saturday,0.57
S100086,2025-10-07,Pricing,Direct,Desktop,USA,Safari,201,1,1,0,0,October,Tuesday,3.35
S100087,2025-08-05,Support,Direct,Desktop,UK,Edge,44,7,0,1,0,August,Tuesday,0.73
S100088,2025-09-09,Products,Email,Mobile,India,Firefox,44,7,0,1,0,September,Tuesday,0.73
S100089,2025-07-07,Blog,Direct,Mobile,UK,Chrome,372,2,0,0,0,July,Monday,6.2
S100090,2025-02-10,Signup,Organic Search,Desktop,USA,Chrome,51,9,0,1,0,February,Monday,0.85
S100091,2025-06-06,Products,Paid Ads,Mobile,USA,Chrome,54,9,0,1,1,June,Friday,0.9
S100092,2025-01-15,Home,Direct,Mobile,UK,Safari,5,5,0,0,0,January,Wednesday,0.08
S100093,2025-10-28,FAQ,Paid Ads,Desktop,UK,Opera,368,3,0,1,0,October,Tuesday,6.13
S100094,2025-03-06,Products,Social Media,Mobile,UK,Chrome,283,3,0,1,0,March,Thursday,4.72
S100095,2025-12-11,Blog,Organic Search,Desktop,France,Chrome,177,12,0,0,0,December,Thursday,2.95
S100096,2025-11-23,Contact,Social Media,Mobile,Germany,Chrome,249,3,0,0,0,November,Sunday,4.15
S100097,2025-01-09,Home,Social Media,Desktop,UK,Chrome,29,6,0,1,0,January,Thursday,0.48
S100098,2025-12-10,FAQ,Organic Search,Desktop,UK,Safari,110,4,0,0,0,December,Wednesday,1.83
S100099,2025-05-09,Products,Direct,Desktop,USA,Chrome,77,8,0,1,0,May,Friday,1.28
S100100,2025-05-16,Products,Direct,Desktop,Australia,Chrome,17,13,0,1,0,May,Friday,0.28
S100101,2025-03-04,Home,Social Media,Mobile,USA,Chrome,119,11,0,0,0,March,Tuesday,1.98
S100102,2025-05-19,Products,Organic Search,Desktop,Germany,Chrome,456,13,0,1,0,May,Monday,7.6
S100103,2025-03-22,Login,Social Media,Desktop,India,Chrome,7,11,0,1,0,March,Saturday,0.12
S100104,2025-06-12,Login,Organic Search,Tablet,India,Chrome,62,11,0,1,0,June,Thursday,1.03
S100105,2025-10-16,FAQ,Direct,Mobile,India,Chrome,41,5,0,1,0,October,Thursday,0.68
S100106,2025-09-18,Products,Organic Search,Desktop,UK,Firefox,48,1,1,1,0,September,Thursday,0.8
S100107,2025-08-19,Pricing,Organic Search,Tablet,USA,Firefox,430,9,0,1,0,August,Tuesday,7.17
S100108,2025-02-10,Blog,Organic Search,Desktop,India,Firefox,113,1,1,0,0,February,Monday,1.88
S100109,2025-01-28,Login,Organic Search,Mobile,UK,Safari,113,6,0,1,0,January,Tuesday,1.88
S100110,2025-05-15,Pricing,Direct,Desktop,India,Edge,257,1,1,0,0,May,Thursday,4.28
S100111,2025-07-20,Products,Referral,Mobile,India,Safari,30,3,0,0,0,July,Sunday,0.5
S100112,2025-11-24,Products,Direct,Mobile,USA,Chrome,120,10,0,0,0,November,Monday,2.0
S100113,2025-09-25,About,Social Media,Desktop,Germany,Chrome,101,5,0,1,0,September,Thursday,1.68
S100114,2025-02-02,Blog,Paid Ads,Mobile,USA,Chrome,163,10,0,1,0,February,Sunday,2.72
S100115,2025-02-17,Support,Paid Ads,Mobile,Australia,Chrome,1390,7,0,1,0,February,Monday,23.17
S100116,2025-03-03,Home,Paid Ads,Mobile,USA,Safari,264,14,0,1,0,March,Monday,4.4
S100117,2025-08-04,Home,Organic Search,Mobile,India,Firefox,91,10,0,1,0,August,Monday,1.52
S100118,2025-10-20,Home,Social Media,Mobile,India,Chrome,316,8,0,1,0,October,Monday,5.27
S100119,2025-04-09,Login,Email,Mobile,France,Firefox,33,12,0,1,0,April,Wednesday,0.55
S100120,2025-06-21,Products,Paid Ads,Mobile,USA,Chrome,5,9,0,1,0,June,Saturday,0.08
S100121,2025-12-26,Home,Social Media,Mobile,USA,Opera,41,6,0,0,0,December,Friday,0.68
S100122,2025-08-02,Products,Organic Search,Desktop,Canada,Safari,74,11,0,0,0,August,Saturday,1.23
S100123,2025-02-04,Contact,Referral,Mobile,India,Safari,128,9,0,0,0,February,Tuesday,2.13
S100124,2025-08-15,Blog,Direct,Mobile,USA,Chrome,171,8,0,0,0,August,Friday,2.85
S100125,2025-04-11,Pricing,Direct,Tablet,UK,Chrome,434,9,0,1,0,April,Friday,7.23
S100126,2025-05-11,Products,Direct,Mobile,Germany,Chrome,128,10,0,1,0,May,Sunday,2.13
S100127,2025-09-14,Products,Direct,Desktop,UK,Chrome,125,4,0,1,0,September,Sunday,2.08
S100128,2025-01-05,Home,Organic Search,Mobile,Germany,Chrome,9,9,0,1,0,January,Sunday,0.15
S100129,2025-08-06,Home,Organic Search,Mobile,UK,Opera,6,7,0,0,0,August,Wednesday,0.1
S100130,2025-09-12,Products,Referral,Mobile,Australia,Chrome,144,5,0,1,0,September,Friday,2.4
S100131,2025-12-25,Products,Direct,Mobile,UK,Chrome,103,5,0,0,0,December,Thursday,1.72
S100132,2025-10-10,Contact,Direct,Mobile,India,Chrome,328,1,1,1,1,October,Friday,5.47
S100133,2025-07-26,Home,Paid Ads,Desktop,USA,Chrome,31,2,0,1,0,July,Saturday,0.52
S100134,2025-01-15,Home,Direct,Mobile,Germany,Edge,5,10,0,1,0,January,Wednesday,0.08
S100135,2025-12-12,Signup,Organic Search,Mobile,UK,Chrome,107,3,0,1,0,December,Friday,1.78
S100136,2025-02-11,Blog,Direct,Desktop,India,Edge,48,14,0,1,0,February,Tuesday,0.8
S100137,2025-06-28,Pricing,Organic Search,Desktop,India,Chrome,9,14,0,0,0,June,Saturday,0.15
S100138,2025-03-04,Signup,Organic Search,Mobile,India,Opera,232,8,0,1,0,March,Tuesday,3.87
S100139,2025-12-18,Products,Social Media,Mobile,France,Chrome,21,6,0,1,0,December,Thursday,0.35
S100140,2025-08-19,Login,Paid Ads,Tablet,India,Firefox,168,12,0,1,1,August,Tuesday,2.8
S100141,2025-08-29,Blog,Social Media,Tablet,USA,Chrome,59,10,0,0,0,August,Friday,0.98
S100142,2025-02-21,Home,Organic Search,Desktop,UK,Firefox,34,11,0,1,0,February,Friday,0.57
S100143,2025-04-06,Products,Direct,Mobile,Australia,Firefox,85,13,0,0,1,April,Sunday,1.42
S100144,2025-08-10,Products,Organic Search,Desktop,Germany,Chrome,291,14,0,0,0,August,Sunday,4.85
